Environ Sys (Earth Sciences),ES25,BILD 3,CHEM 6A,CHEM 6B,CHEM 6C,ECON 1,ECON 131**,ESYS 101,ESYS 102,ESYS 103,ESYS 187A,ESYS 187B,ESYS 187C,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,MATH 20A,MATH 20B,MATH 20C,MATH 20D,PHYS 2A,PHYS 2B,PHYS 2C,POLI 160AA**,SIO 102,SIO 50,,,,,,,,,,,,,,,,
"Environ Sys (Ecol,Behav&Evol)",ES26,BICD 100,BILD 1,BILD 3,CHEM 6A,CHEM 6B,CHEM 6C,ECON 1,ECON 131**,ESYS 101,ESYS 102,ESYS 103,ESYS 187A,ESYS 187B,ESYS 187C,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR LAB ELECTIVE,MATH 10A,MATH 10B,MATH 11,PHYS 1A,PHYS 1AL,PHYS 1B,PHYS 1BL,PHYS 1C,PHYS 1CL,POLI 160AA**,,,,,,,,,,,,,,
Environ Sys(Environ Chemistry),ES27,BILD 3,CHEM 100A.,CHEM 100B,CHEM 40A,CHEM 40B,CHEM 43A,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,ECON 1,ECON 131**,ESYS 101,ESYS 102,ESYS 103,ESYS 187A,ESYS 187B,ESYS 187C,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,MATH 20A,MATH 20B,MATH 20C,MATH 20D,PHYS 2A,PHYS 2B,PHYS 2C,PHYS 2CL,POLI 160AA**,,,,,,,,,,,,,
Environ Sys (Environ Policy),ES28,BILD 3,CHEM 6A,CHEM 6B,CHEM 6C,ECON 1,ECON 131**,ECON 2,ESYS 101,ESYS 102,ESYS 103,ESYS 187A,ESYS 187B,ESYS 187C,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,ESYS MAJOR ELECTIVE,MATH 10A,MATH 10B,MATH 11,PHYS 1A,PHYS 1AL,PHYS 1B,PHYS 1BL,PHYS 1C,PHYS 1CL,POLI 160AA**,,,,,,,,,,,,,,,
Ethnic Studies,ET25,ETHN 1 *,ETHN 100A,ETHN 100B,ETHN 100C,ETHN 2 *,ETHN UD,ETHN UD,ETHN UD,ETHN UD,ETHN UD,ETHN UD,ETHN UD,ETHN UD,ETHN UD,ETHN UD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Studies,GS25,GS UD Elective,GS UD Elective,GS UD Elective,GS UD Elective,GS UD Elective,History Elective,History Elective,LIGM 1A,LIGM 1AX,LIGM 1B,LIGM 1BX,LIGM 1C,LIGM 1CX,LTGM 100,LTGM 101,LTGM 2A,LTGM 2B,LTGM 2C,LTGM Elective,LTGM Elective,LTGM Elective,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,
Global Health,GH25,LD Intro Course (e.g. GLBH 20),LD Intro Course (e.g. SOCI 30),Statistics Course,UD GH Core Course,UD GH Core Course,UD GH Core Course,UD GH Core Course (e.g. GLBH 148),UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Health,GH26,BILD 1,BILD 2,BILD 3,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,Lower Division Core,Lower Division Core,MATH 10A,MATH 10B,Statistics Course,UD ELECTIVE,UD GH Core Course,UD GH Core Course,UD GH Core Course,UD GH Core Course (e.g. GLBH 148),UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,UD Global Health Elective,,,,,,,,,,,,,,,,,,
Global South Studies,GL25,LD GSS 20-27,LD GSS 20-27,LD GSS 20-27,UD ELECTIVE,UD Major - Elective,UD Major - Elective,UD Major - Elective,UD Major - Elective,UD Major - Elective,UD Major - Elective,UD Major - Elective,UD Major - Elective,UD Major - Elective,UD Major - Elective,UD Major - Elective,UD Major - Elective,,,,,,,,,,,,,,,,,,,,,,,,,,,
History,HI25,HILD,HILD,HILD,HILD,HITO 100 or HIUD,HITO 100 or HIUD,HITO 100 or HIUD,HIUD,HIUD,HIUD,HIUD,HIUD,HIUD or Colloquium course numbered 160-190,HIUD or Colloquium course numbered 160-190,HIUD or Colloquium course numbered 160-190,UD ELECTIVE,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Health,PB25,BILD 3,FMPH 101 or FMPH 102,FMPH 101 or FMPH 102,FMPH 110,FMPH 120 or FMPH 130,FMPH 120 or FMPH 130,FMPH 193,FMPH 194,FMPH 40,FMPH 50,FMPH UDE,LD Biology,LD Biology,SBE,SBE,Statistics (Quantitative Methods),UDE,UDE,UDE,UDE,USP 143,,,,,,,,,,,,,,,,,,,,,,
BS PblHlth w/Con Biostatistics,PB26,BILD 1,BILD 2,BILD 3,Computer Programming,Concentration UDE,Concentration UDE,FMPH 101 or FMPH 102,FMPH 101 or FMPH 102,FMPH 120 or FMPH 130,FMPH 120 or FMPH 130,FMPH 193,FMPH 194,FMPH 40,FMPH 50 or FMPH 110,FMPH 50 or FMPH 110,FMPH UDE,MATH 11,MATH 18,MATH 20A,MATH 20B,MATH 20C,SBE,SBE,UDE,UDE,USP 143,,,,,,,,,,,,,,,,,
BS PblHlth w/Con Clmt&EnvrnSci,PB27,BILD 1,BILD 2,BILD 3,CHEM 6A,CHEM 6B,CHEM 6C,Concentration UDE,Concentration UDE,FMPH 101 or FMPH 102,FMPH 101 or FMPH 102,FMPH 120 or FMPH 130,FMPH 120 or FMPH 130,FMPH 193,FMPH 194,FMPH 40,FMPH 50 or FMPH 110,FMPH 50 or FMPH 110,FMPH UDE,MATH 10A/20A,MATH 10B/20B,MATH 11,SBE,SBE,UDE,UDE,USP 143,,,,,,,,,,,,,,,,,
BS PblHlth w/Con CmntyHlth Sci,PB28,BILD 3,Concentration UDE,Concentration UDE,FMPH 101 or FMPH 102,FMPH 101 or FMPH 102,FMPH 110,FMPH 120 or FMPH 130,FMPH 120 or FMPH 130,FMPH 193,FMPH 194,FMPH 40,FMPH 50,FMPH UDE,LD Biology,LD Biology,SBE,SBE,Statistics (Quantitative Methods),UDE,UDE,USP 143,,,,,,,,,,,,,,,,,,,,,,
BS PblHlth w/Con Epidemiology,PB29,BILD 1,BILD 2,BILD 3,Concentration UDE,Concentration UDE,FMPH 101 or FMPH 102,FMPH 101 or FMPH 102,FMPH 120 or FMPH 130,FMPH 120 or FMPH 130,FMPH 193,FMPH 194,FMPH 40,FMPH 50 or FMPH 110,FMPH 50 or FMPH 110,FMPH UDE,SBE,SBE,Statistics (Quantitative Methods),UDE,UDE,USP 143,,,,,,,,,,,,,,,,,,,,,,
BS PblHlth w/Con HlthPol&Mgmt,PB30,BILD 3,Concentration UDE,Concentration UDE,FMPH 101 or FMPH 102,FMPH 101 or FMPH 102,FMPH 110,FMPH 120 or FMPH 130,FMPH 120 or FMPH 130,FMPH 193,FMPH 194,FMPH 40,FMPH 50,FMPH UDE,LD Biology,LD Biology,SBE,SBE,Statistics (Quantitative Methods),UDE,UDE,USP 143,,,,,,,,,,,,,,,,,,,,,,
BS PblHlth w/Con Medicine Sci,PB31,BILD 1,BILD 2,BILD 3,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,Concentration UDE,Concentration UDE,FMPH 101 or FMPH 102,FMPH 101 or FMPH 102,FMPH 120 or FMPH 130,FMPH 120 or FMPH 130,FMPH 193,FMPH 194,FMPH 40,FMPH 50 or FMPH 110,FMPH 50 or FMPH 110,FMPH UDE,Natural Science,Natural Science,Natural Science,SBE,SBE,Statistics (Quantitative Methods),UDE,UDE,USP 143,,,,,,,,,,,,,,,
Human Developmental Sciences,HS25,HDS 1,HDS 150,HDS 181,HDS 191,HDS Core Course,HDS Core Course,HDS Core Course,HDS Core Course,HDS Development Course,HDS Development Course,HDS Development Course,HDS Development Course,HDS Development Course,LD HDS Statistics,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,,,,,,,,,,,,,,,,,,,,,,,,
Human Developmental Sciences,HS26,HDS 1,HDS 150,HDS 181,HDS 191,HDS CORE COURSE,HDS CORE COURSE,HDS CORE COURSE,HDS CORE COURSE,HDS Development Course,HDS Development Course,HDS Development Course,HDS Development Course,HDS Development Course,HDS Methods Elective,LD HDS Statistics,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,,,,,,,,,,,,,,,,,,,,,,
HumDevSci w/Spec Eqty& Divrsty,HS27,HDS 1,HDS 150,HDS 181,HDS 191,HDS CORE COURSE,HDS CORE COURSE,HDS CORE COURSE,HDS CORE COURSE,HDS Development Course,HDS Development Course,HDS Development Course,HDS E&D Practicum,HDS E&D Specialization,HDS E&D Specialization,LD HDS Statistics,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,,,,,,,,,,,,,,,,,,,,,,
HumDevSci w/Spec Healthy Aging,HS28,HDS 1,HDS 150,HDS 181,HDS 191,HDS Aging Practicum,HDS Aging Specialization,HDS Aging Specialization,HDS CORE COURSE,HDS CORE COURSE,HDS CORE COURSE,HDS CORE COURSE,HDS Development Course,HDS Development Course,HDS Development Course,LD HDS Statistics,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,LD Major Prep,,,,,,,,,,,,,,,,,,,,,,
International Studies-Anthro,IS25,DF1 - ANTHROPOLOGY,DF2 - ANTHROPOLOGY,DF3 - ANTHROPOLOGY (RR2),DF4 - ANTHROPOLOGY,DF5 - ANTHROPOLOGY (RR3),DF6 - ANTHROPOLOGY,DF7 - ANTHROPOLOGY,DF8 - ANTHROPOLOGY,EAP/OAP (RECOMMENDED),IE1 - INTERDISC ELECT (RR1),IE2 - INTERDISC ELECT,IE3 - INTERDISC ELECT,INTL 101 or 102,INTL 101 or 102,INTL 190,LANGUAGE,LANGUAGE,LANGUAGE,LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,
International Studies-Econ,IS26,DF1 - ECONOMICS,DF2 - ECONOMICS,DF3 - ECONOMICS,DF4 - ECONOMICS,DF5 - ECONOMICS,DF6 - ECONOMICS,DF7 - ECONOMICS,DF8 - ECONOMICS,EAP/OAP (RECOMMENDED),ECON 1,ECON 2,ECON 3,IE1 - INTERDISC ELECT (RR1),IE2 - INTERDISC ELECT (RR2),IE3 - INTERDISC ELECT (RR3),INTL 101 or 102,INTL 101 or 102,INTL 190,LANGUAGE,LANGUAGE,LANGUAGE,LANGUAGE,MATH 10A OR 20A,MATH 10B OR 20B,MATH 10C OR 20C,,,,,,,,,,,,,,,,,,
International Studies-History,IS27,DF1 - HISTORY,DF2 - HISTORY,DF3 - HISTORY (RR2),DF4 - HISTORY,DF5 - HISTORY (RR3),DF6 - HISTORY,DF7 - HISTORY,DF8 - HISTORY,EAP/OAP (RECOMMENDED),IE1 - INTERDISC ELECT (RR1),IE2 - INTERDISC ELECT,IE3 - INTERDISC ELECT,INTL 101 or 102,INTL 101 or 102,INTL 190,LANGUAGE,LANGUAGE,LANGUAGE,LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,
International Studies-Linguist,IS28,DF1 - LINGUISTICS (LIGN 101),DF2 - LINGUISTICS,DF3 - LINGUISTICS (RR2),DF4 - LINGUISTICS,DF5 - LINGUISTICS (RR3),DF6 - LINGUISTICS,DF7 - LINGUISTICS,DF8 - LINGUISTICS,EAP/OAP (RECOMMENDED),IE1 - INTERDISC ELECT (RR1),IE2 - INTERDISC ELECT,IE3 - INTERDISC ELECT,INTL 101 or 102,INTL 101 or 102,INTL 190,LANGUAGE,LANGUAGE,LANGUAGE,LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,
International Studies-Lit,IS29,DF1 - LITERATURE,DF2 - LITERATURE,DF3 - LITERATURE,DF4 - LITERATURE (RR2),DF5 - LITERATURE (RR3),DF6 - LITERATURE,DF7 - LITERATURE,DF8 - LITERATURE,EAP/OAP (RECOMMENDED),IE1 - INTERDISC ELECT (RR1),IE2 - INTERDISC ELECT,IE3 - INTERDISC ELECT,INTL 101 or 102,INTL 101 or 102,INTL 190,LANGUAGE,LANGUAGE,LANGUAGE,LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,
International Studies-Poli Sci,IS30,DF1 - POLI SCI,DF2 - POLI SCI,DF3 - POLI SCI,DF4 - POLI SCI (RR2),DF5 - POLI SCI (RR3),DF6 - POLI SCI,DF7 - POLI SCI,DF8 - POLI SCI,EAP/OAP (RECOMMENDED),IE1 - INTERDISC ELECT (RR1),IE2 - INTERDISC ELECT,IE3 - INTERDISC ELECT,INTL 101 or 102,INTL 101 or 102,INTL 190,LANGUAGE,LANGUAGE,LANGUAGE,LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,
International Studies-Sociol,IS31,DF1 - SOCIOLOGY,DF2 - SOCIOLOGY,DF3 - SOCIOLOGY (RR2),DF4 - SOCIOLOGY,DF5 - SOCIOLOGY (RR3),DF6 - SOCIOLOGY,DF7 - SOCIOLOGY,DF8 - SOCIOLOGY,EAP/OAP (RECOMMENDED),IE1 - INTERDISC ELECT (RR1),IE2 - INTERDISC ELECT,IE3 - INTERDISC ELECT,INTL 101 or 102,INTL 101 or 102,INTL 190,LANGUAGE,LANGUAGE,LANGUAGE,LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,
International Studies-Intl Bus,IS34,DF1 - MGT 103,DF2 - MGT 164,DF3 - MGT 181 OR 187,DF4 - MGT ELECTIVE,DF5 - MGT 112,DF6 - MGT 166,DF7 - MGT ELECTIVE,DF8 - MGT ELECTIVE,EAP/OAP (RECOMMENDED),ECON/MGT 4,IE/RR1 - Interdisciplinary Elective/Regional Requirement,IE/RR2 - Interdisciplinary Elective/Regional Requirement,IE/RR3- Interdisciplinary Elective/Regional Requirement,INTL 101 OR 102,INTL 101 OR 102,INTL 190,LANGUAGE,LANGUAGE,LANGUAGE,LANGUAGE,MATH 10A OR 20A,MATH 10B OR 20B,MATH 10C OR 20C,MGT 5,,,,,,,,,,,,,,,,,,,
International Studies-Phil,IS36,DF-1 - PHILOSOPHY,DF-2 - PHILOSOPHY,DF-3 - PHILOSOPHY,DF-4 - PHILOSOPHY,DF-5 - PHILOSOPHY,DF-6 - PHILOSOPHY,DF-7 - PHILOSOPHY,DF-8 - PHILOSOPHY,EAP/OAP (RECOMMENDED),IE/RR1 - Interdisciplinary Elective/Regional Requirement,IE/RR2 - Interdisciplinary Elective/Regional Requirement,IE/RR3 - Interdisciplinary Elective/Regional Requirement,INTL 101 or 102,INTL 101 or 102,INTL 190,LANGUAGE,LANGUAGE,LANGUAGE,LANGUAGE,PHIL 10,,,,,,,,,,,,,,,,,,,,,,,
Italian Studies,IT25,IS Dept 1,IS Dept 2,IS Dept 3,IS UD Elective,IS UD Elective,IS UD Elective,IS UD Elective,IS UD Elective,IS UD Elective,IS UD Elective,IS UD Elective,IS UD Elective,LIIT 1A,LIIT 1AX,LIIT 1B,LIIT 1BX,LIIT 1C,LIIT 1CX,LTIT 2A,LTIT 2B,LTIT 50,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,
Japanese Studies,JA25,HILD 10,HILD 11,HILD 12,JAPN 10A,JAPN 10B,JAPN 10C,JAPN 130A,JAPN 130B,JAPN 130C,JAPN 140A,JAPN 140B,JAPN 140C,JAPN 190,JAPN 20A,JAPN 20B,JAPN 20C,UD ELECTIVE,UD JS NON-LANG. ELECTIVE,UD JS NON-LANG. ELECTIVE,UD JS NON-LANG. ELECTIVE,UD JS NON-LANG. ELECTIVE,UD JS NON-LANG. ELECTIVE,,,,,,,,,,,,,,,,,,,,,
Jewish Studies,JS25,JWSP 1,"JWSP 101 or JWSP 104 or LIAB 1A/AX, LIFR 1A/AX, LIGM 1A/AX, LIIT 1A/AX, LTRU 1A","JWSP 102 or JWSP 104 or LIAB 1B/BX, LIFR 1B/BX, LIGM 1B/BX, LIIT 1B/BX, LTRU 1B","JWSP 103 or JWSP 104 LIAB 1C/CX, LIFR 1B/BX, LIGM 1B/BX, LIIT 1B/BX, LTRU 1C",JWSP 2,JWSP 3,UD ELECTIVE,UD JWSP Elective,UD JWSP Elective,UD JWSP Elective,UD JWSP Elective,UD JWSP Elective,UD JWSP Elective,UD Survey Course: 1648 to present,UD Survey Course: Elective,UD Survey Course: pre-1648,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin American Studies,LA25,LATI 10,LATI 180,LATI 190,LATI 50,LATI Core Course,LATI Core Course,LATI Core Course,LATI Method,LATI UD Elective,LATI UD Elective,LATI UD Elective,LATI UD Elective,LATI UD Elective,LATI UD Elective,LISP 1A/1AX,LISP 1B/1BX,LISP 1C/1CX,LTSP 2A,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,
Latin Am Stu (Con in Mexico),LA26,LATI 10,LATI 150,LATI 180,LATI 190,LATI 50,LATI Core,LATI Core,LATI Core,LATI Method,LATI UG Elective,LATI UG Elective (Con in Mexico),LATI UG Elective (Con in Mexico),LATI UG Elective (Con in Mexico),LATI UG Elective (Con in Mexico),LATI UG Elective (Con in Mexico),LISP 1A/1AX,LISP 1B/1BX,LISP 1C/1CX,LTSP 2A,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,
Latin Am Stu (Con Mig&Brdr St),LA27,LATI 10,LATI 150,LATI 180,LATI 190,LATI 50,LATI Core,LATI Core,LATI Core,LATI Method,LATI UG Elective,LATI UG Elective (Con in Mig&Border),LATI UG Elective (Con in Mig&Border),LATI UG Elective (Con in Mig&Border),LATI UG Elective (Con in Mig&Border),LISP 1A/1AX,LISP 1B/1BX,LISP 1C/1CX,LTSP 2A,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,
Linguistics,LN25,LIGN 101,LIGN 110,LIGN 111,LIGN 120,LIGN 121,LIGN 130,LIGN ELECTIVE,LIGN Elective,LIGN Elective,LIGN Elective,LIGN Elective,LIGN Elective or other*,UD ELECTIVE,language requirement,language requirement,language requirement,language requirement,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguistics(Spec Lang&Society),LN29,LIGN 101,LIGN 110,LIGN 111,LIGN 120,LIGN 121,LIGN 130,"LIGN 174, 175, OR 177",LIGN ELECTIVE,LIGN ELECTIVE,LIGN ELECTIVE,UD ELECTIVE,UD ELECTIVE FROM APPROVED LIST*,UD ELECTIVE FROM APPROVED LIST*,language requirement,language requirement,language requirement,language requirement,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguistics(Spec Cogn & Lang),LN32,LIGN 101,LIGN 110,LIGN 111,LIGN 120,LIGN 121,LIGN 130,LIGN ELECTIVE FROM LIST *,LIGN ELECTIVE FROM LIST *,LIGN ELECTIVE FROM LIST *,LIGN ELECTIVE FROM LIST *,LIGN ELECTIVE**,LIGN ELECTIVE**,UD ELECTIVE,language requirement,language requirement,language requirement,language requirement,,,,,,,,,,,,,,,,,,,,,,,,,,
Language Studies,LN33,"LIGN ""STRUCTURE OF""",LIGN 101,LIGN CORE COURSE **,LIGN CORE COURSE **,LIGN CORE COURSE **,LIGN Elective,UD AREA STUDIES OR UD LIGN ELECTIVE ****,"UD AREA STUDIES, UD LIT, OR UD LIGN ELECTIVE ****","UD AREA STUDIES, UD LIT, OR UD LIGN ELECTIVE ****","UD AREA STUDIES, UD LIT, OR UD LIGN ELECTIVE ****",UD ELECTIVE,UD LIT ELECTIVE ***,UD LIT ELECTIVE ***,language requirement,language requirement,language requirement,language requirement,language requirement,language requirement,language requirement,,,,,,,,,,,,,,,,,,,,,,,
Linguistics(Spec Spch&LangSci),LN34,COGS 14B or PSYC 60 (stats requirement),DOC1/DEI,LIGN 101,LIGN 110,LIGN 111,LIGN 112 or 113,LIGN 120,LIGN 121,LIGN 130,Language Development elective*,Ling elective***,Ling elective***,Ling elective***,Neuro ling elective**,UD ELECTIVE,language requirement,language requirement,language requirement,language requirement,,,,,,,,,,,,,,,,,,,,,,,,
Spanish Literature,LT33,LD LTEN,LISP 1A/1AX,LISP 1B/1BX,LISP 1C/1CX,LTSP 100A or 100B,LTSP 2A,LTSP 2B,LTSP 2C,UD ELECTIVE,UD LTSP,UD LTSP,UD LTSP,UD LTSP,UD LTSP,UD LTSP,UD LTSP,UD LTSP - PRE-1900,UD Literature Elective,UD Literature Elective,UD Literature Elective,,,,,,,,,,,,,,,,,,,,,,,
Literature/Writing,LT34,LD LTEN OR GSS,LD LTEN OR GSS,LD Language,LD Language,LD Language,LD Language,LD Language,LD Language,LTEN 26,LTWR 14X,LTWR 8A OR LTWR 8B OR LTWR 8C,LTWR 8A OR LTWR 8B OR LTWR 8C,LTWR 8A OR LTWR 8B OR LTWR 8C,UD ELECTIVE,UD LIT ELECTIVE,UD LIT ELECTIVE,UD LTAF or UD LTAM or UD LTEA or UD LTEU or UD LTWL,UD LTAM,UD LTEU,UD LTWR,UD LTWR,UD LTWR,UD LTWR,UD LTWR,UD LTWR,,,,,,,,,,,,,,,,,,
Literatures in English,LT36,LD Language,LD Language,LD Language,LD Language,LD Language,LD Language,"LTCS 100, LTTH 110, OR LTTH 115",LTEN 21,LTEN 22,LTEN 23,LTEN 25,LTEN 26,"LTEN 27, 28, OR 29",UD ELECTIVE,UD LTAF or UD LTAM or UD LTEA or UD LTEU or UD LTWL,UD LTAM,UD LTEN,UD LTEN,UD LTEN,UD LTEN,"UD LTEN (A, B, C, OR D)","UD LTEN (A, B, C, OR D)","UD LTEN (A, B, C, OR D)","UD LTEN (A, B, C, OR D)",UD LTEU,,,,,,,,,,,,,,,,,,
World Literature and Culture,LT41,LD LIT SEQUENCE,LD LIT SEQUENCE,LD LIT SEQUENCE,LD Language,LD Language,LD Language,LD Language,LD Language,LD Language,UD ELECTIVE,UD LIT COURSE (CONCENTRATION),UD LIT COURSE (CONCENTRATION),UD LIT COURSE (CONCENTRATION),UD LIT COURSE (CONCENTRATION),UD LIT COURSE (CONCENTRATION),UD LIT COURSE (CONCENTRATION),UD LIT ELECTIVE,UD LIT ELECTIVE,UD LIT ELECTIVE,UD LTAF or UD LTAM or UD LTEA or UD LTEU or UD LTWL,UD LTAM,UD LTEU,,,,,,,,,,,,,,,,,,,,,
Mathematics (Applied),MA27,CSE 11,MATH 109 or MATH 20D,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D or MATH 109,MATH 20E,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,MA29,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D or MATH 109,MATH 20D or MATH 109,MATH 20E,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics-Computer Science,MA30,CSE 11,CSE 12,CSE 15L,CSE 30,MATH 109 or MATH 20D,MATH 154 or 184,MATH 18,MATH 183 or UD Major,MATH 20A,MATH 20B,MATH 20C,MATH 20D or MATH 109,MATH 20E,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,,,,,,,,,,,,,,,,,,,
Mathematics/Applied Science,MA31,CSE 11,MATH 109 or MATH 20D,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D or MATH 109,MATH 20E,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,,,,,,,,,,,,,,,,,,,,,,
Mathematics/Secondary Educ,MA32,EDS 129A,EDS 129B,EDS 129C,MATH 109 or MATH 20D,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D or MATH 109,MATH 20E,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,,,,,,,,,,,,,,,,,,,,,,,,
Joint Major Mathematics & Econ,MA33,ECON 1,ECON 3,MATH 109 or MATH 20D,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D or MATH 109,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,,,,,,,,,,,,,,,,,,,,,
Probability & Statistics,MA35,CSE 11,MATH 109 or MATH 20D,MATH 18,MATH 180A,MATH 180B,MATH 180C,MATH 181A,MATH 181B,MATH 20A,MATH 20B,MATH 20C,MATH 20D or MATH 109,MATH 20E,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,,,,,,,,,,,,,,,,,,,,,,
Mathematical Biology,MA36,BILD 1,BILD 2,BILD 4,Chemistry / Physics Course*,Chemistry / Physics Course*,GE*,MATH 109 or MATH 20D,MATH 11,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D or MATH 109,MATH 20E,Programming Course,UD Elective,UD Elective,UD Elective,UD Elective,UD Elective,UD Elective,UD Elective,UD Elective,UD Elective,UD Elective,UD Elective,UD Elective (MATH 174),,,,,,,,,,,,,,,,
Aerospace Engineering,MC25,CHEM 6A,MAE 101A,MAE 101B,MAE 104,MAE 105,MAE 107,MAE 11,MAE 113,MAE 131A,MAE 142,MAE 143A,MAE 143B,MAE 155A,MAE 155B,MAE 170,MAE 175A,MAE 2,MAE 21,MAE 30A,MAE 30B,MAE 8,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E,PHYS 2A,PHYS 2B,PHYS 2C & 2CL,SE 160A,TE,TE,TE,TE,TE,,,,,,,
Mechanical Engineering,MC27,CHEM 6A,MAE 101A,MAE 101B,MAE 101C,MAE 105,MAE 107,MAE 11,MAE 131A,MAE 143A,MAE 143B,MAE 150,MAE 156A,MAE 156B,MAE 160 or MAE 131B,MAE 170,MAE 171A,MAE 20,MAE 3,MAE 30A,MAE 30B,MAE 40,MAE 8,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E,PHYS 2A,PHYS 2B,PHYS 2C,TE,TE,TE,TE,TE,,,,,,,
MechEngW/SpecRnEnergy&EnvFlows,MC30,CHEM 6A,MAE 101A,MAE 101B,MAE 101C,MAE 105,MAE 107,MAE 11,MAE 131A,MAE 131B or MAE 160,MAE 143A,MAE 143B,MAE 150,MAE 156A,MAE 156B,MAE 170,MAE 171A,MAE 20,MAE 3,MAE 30A,MAE 30B,MAE 40,MAE 8,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E,PHYS 2A,PHYS 2B,PHYS 2C,TE,TE,TE,TE,TE,,,,,,,
MechEngW/SpecMechanics of Mat,MC31,CHEM 6A,MAE 101A,MAE 101B,MAE 101C,MAE 105,MAE 107,MAE 11,MAE 131A,MAE 131B or MAE 160,MAE 143A,MAE 143B,MAE 150,MAE 156A,MAE 156B,MAE 170,MAE 171A,MAE 20,MAE 3,MAE 30A,MAE 30B,MAE 40,MAE 8,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E,PHYS 2A,PHYS 2B,PHYS 2C,TE,TE,TE,TE,TE,,,,,,,
