course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
GSS 20,Introduction to Global South Studies,4,"This introductory course examines historical and theoretical debates on the Global South. Especially important are socioeconomic, political, as well as cultural processes, as they are key factors to understanding the Global South across the globe.",,,,,,,,,,
GSS 21-22-23-25-26-27,"History, Culture, and Politics of the Global South",4-4-4-4-4-4,"An introduction to the history, culture, and politics of various regions of the Global South through multidisciplinary approaches and readings. Topics will vary each quarter. (F,W,S)",,,,,,,,,,
GSS 132,Literature and Global South Societies,4,"This course will investigate novelistic and dramatic treatments of European society in the era of nineteenth-century imperialism, Global South societies under the impact of colonialism, and the position of national minorities inside the United States to the present day. Attention will center on the interplay between the aesthetic merits and social-historical-philosophical content of the works read.",,,,,,,,,,
GSS 190,Undergraduate Seminars,4,"Seminars will be organized on the basis of topics with readings, discussions, and papers. Specific subjects to be covered will change each quarter depending on particular interest of instructors or students. May be repeated for credit.",,,,,,,,,,
GSS 197,Fieldwork,4,"In an attempt to explore and study some unique processes and aspects of community life, students will engage in research in field settings. Topics to be researched may vary, but in each case the course will provide skills for carrying out these studies.",,,,,,,,,,
GSS 198,Directed Group Studies,2 or 4,"Directed group study on a topic or in a field not included in the regular department curriculum, by special arrangement with a faculty member. ",,,,,,,,,,Upper-division standing.
GSS 199,Independent Study,2 or 4,"Tutorial, individual guided reading and research projects (to be arranged between student and instructor) in an area not normally covered in courses currently being offered in the department. (P/NP grades only.) ",,,,,,,,,,"Upper-division standing and consent of instructor. (F,W,S)"
