course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
SXTH 1,First Year Experience,2,"This course facilitates academic success at a leading research university by helping students understand and embrace academic and curricular expectations, engage and map cocurricular opportunities, and strengthen critical thinking and organizational, interpersonal, and wellness skills. P/NP grades only. ",,,,,,,,,,Open to Sixth College NFRS only.
SXTH 2,Transfer Year Experience,2,"This course facilitates academic success at a leading research university by helping students understand and embrace academic and curricular expectations, engage and map cocurricular opportunities, and strengthen critical thinking and organizational, interpersonal, and wellness skills. P/NP grades only. ",,,,,,,,,,Open to Sixth College transfer students only.
SXTH 20,First-year Student Honors Seminar,1,Weekly seminars with faculty members from a variety of disciplines (chosen by the provost to match the interests of participating students). This seminar provides students with opportunities to learn more about research and scholarly activities being conducted by faculty and instill in students a sense of participation in the scholarly life at UC San Diego. P/NP grades only. ,,,,,,,,,,By invitation only.
