course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
LAWS 101,Contemporary Legal Issues,4,"This course will deal in depth each year with a different legal issue of contemporary significance, viewed from the perspectives of political science, history, sociology, and philosophy. Required for students completing the Law and Society minor. May be repeated for credit once, for a maximum total of eight units. ",,,,,,,,,,Upper-division standing or consent of instructor.
LAWS 102S,"Crimes, Civil Wrongs, and Constitution",4,"Through lectures and discussions on several controversial topics, students are introduced to the subjects taught in the first year of law school. They learn briefing, case analysis, and the Socratic method of instruction, engage in role-playing exercises, and take law-school examinations. ",,,,,,,,,,Upper-division standing or consent of instructor.
