course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
HMNR 100/SOCI 174/HITO 119,Introduction to Human Rights and Global Justice,4,"Explores where human rights come from and what they mean by integrating them into a history of modern society, from the Conquest of the Americas and the origins of the Enlightenment, to the Holocaust and the contemporary human rights regime.",,,,,,,,,,
HMNR 101/ANSC 140 or COMM 114A,Human Rights II: Contemporary Issues,4,"Interdisciplinary discussion that outlines the structure and functioning of the contemporary human rights regime, and then delves into the relationship between selected human rights protections—against genocide, torture, enslavement, political persecution, etc.—and their violation, from early Cold War to the present.",,,,,,,,,,
