course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
REV 1,First Year Experience,2,"This course facilitates academic success at a leading research university by helping students understand and embrace academic and cocurricular expectations, engage and map cocurricular opportunities, and strengthen critical thinking and organizational, interpersonal, and wellness skills. P/NP grades only. ",,,,,,,,,,Open to Revelle College first-year students only. (F)
REV 2,Transfer Year Experience,2,"This course facilitates academic success at a leading research university by helping students understand and embrace academic and curricular expectations, engage and map cocurricular opportunities, and strengthen critical thinking and organizational, interpersonal, and wellness skills. P/NP grades only. ",,,,,,,,,,Open to Revelle College transfer students only. (F)
REV 12,Practicing the Science of Mindfulness,1,"Weekly seminars with a faculty member for Revelle undergraduates interested in the science of mindfulness and how to use it for stress management, interpersonal skills, performance improvement, and to increase the sense of well-being. P/NP grades only. ",,,,,,,,,,Open to Revelle undergraduate students only. (S)
REV 16,Leadership in Practice,1,"This weekly class is for all Revelle undergraduate levels seeking to connect leadership theory to practice while exploring how leadership can be exercised in classrooms, communities, and a variety of career pathways. P/NP grades only. ",,,,,,,,,,Enrollment limited to Revelle College students. (W)
REV 20,Revelle First-year Student Honors Program Seminar,0,Weekly seminars with a faculty member (chosen each year by the provost to match the interests of participating students). This seminar will acquaint students coming from high schools (first-year students) with the scholarship and research being conducted by faculty and instill in students a sense of participation in the scholarly life at UC San Diego. P/NP grades only. ,,,,,,,,,,"By invitation only. (F,W,S)"
REV 87,First-Year Student Seminar,1,"The First-year Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year seminars can be offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",,,,,,,,,,
REV 88,Succeeding in Scientific Research,1,"This course will evaluate strategies used to select impactful topics and research questions, how to turn curiosity into knowledge by posing effective hypotheses. Practical topics—how to design an experiment, how to make effective arguments in written/spoken forms of scientific communication. P/NP grades only. (S)",,,,,,,,,,
REV 99H,Independent Study,1,Independent study or research under direction of a member of the faculty. ,,,,,,,,,,"First-year class standing. Students must have been offered a Regents Scholarship. Special Studies preauthorization required. (F,W,S)"
REV 110H,Revelle College Senior Honors Seminar,1,"A seminar for senior honors students concerning the nature of science, applied science, and social sciences. The course will consist of readings and discussion concerning a range of historical, philosophical, and sociological perspectives. ",,,,,,,,,,Students who meet honors criteria will be invited to enroll.
